                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.367,                 1.0208,                 1.2216,                 1.4984,                 1.2483,                 1.2389,                0.87866,                0.84591,                 0.9162,                0.76462,                0.85115,                0.53118,                0.92867,                0.88678,                 0.5924,                 0.9433,              0.0033333,              0.0033333,              0.0033333
                      2,                 1.3612,                0.90492,                 1.2271,                 1.4999,                 1.0712,                 1.2487,                0.92755,                0.87538,                0.92018,                0.76684,                0.82963,                0.49531,                0.93693,                0.89039,                0.56545,                0.95324,              0.0064026,              0.0064026,              0.0064026
                      3,                 1.3922,                0.96832,                 1.2527,                 1.5356,                 1.1458,                 1.2776,                0.91368,                0.84663,                0.90483,                0.75947,                0.83107,                0.65019,                 0.9478,                0.89142,                0.71463,                0.96557,               0.009208,               0.009208,               0.009208
                      4,                 1.3756,                0.93245,                 1.2556,                  1.519,                 1.1034,                 1.2801,                0.97789,                0.30365,                0.78282,                0.67886,                0.87661,                 2.0093,                 1.0371,                0.93697,                 2.1171,                 1.0461,               0.008812,               0.008812,               0.008812
                      5,                 1.3215,                0.84761,                 1.2255,                  1.464,                0.98791,                 1.2528,                0.98509,                0.16162,                0.74851,                0.65002,                0.89184,                  2.296,                 1.0649,                0.94906,                 2.4663,                  1.072,               0.008812,               0.008812,               0.008812
                      6,                 1.2844,                0.79253,                 1.2019,                 1.4226,                0.91641,                 1.2255,                 0.9868,                 0.1704,                0.77033,                0.66895,                0.88787,                 2.1944,                 1.0578,                0.94622,                 2.3655,                 1.0684,               0.008416,               0.008416,               0.008416
                      7,                 1.2583,                0.75672,                 1.1918,                 1.3927,                 0.8714,                 1.2136,                0.98184,                0.20372,                0.79283,                0.68662,                0.88085,                 2.0332,                 1.0462,                0.93853,                 2.1637,                 1.0587,                0.00802,                0.00802,                0.00802
                      8,                  1.236,                0.73342,                 1.1819,                 1.3669,                 0.8363,                 1.2032,                0.97904,                0.33856,                0.80808,                0.69678,                0.87481,                 1.8016,                 1.0336,                 0.9299,                 1.9167,                 1.0464,               0.007624,               0.007624,               0.007624
                      9,                 1.2133,                 0.7058,                 1.1664,                 1.3423,                0.80209,                 1.1859,                0.96997,                0.53373,                 0.8262,                 0.7092,                0.86635,                  1.531,                 1.0177,                0.92122,                 1.6485,                 1.0319,               0.007228,               0.007228,               0.007228
                     10,                 1.1971,                0.68564,                 1.1571,                 1.3239,                0.77761,                 1.1765,                0.95409,                0.63862,                   0.84,                0.71706,                0.85574,                 1.2567,                 1.0009,                0.91316,                 1.3844,                 1.0164,               0.006832,               0.006832,               0.006832
                     11,                 1.1791,                0.66614,                 1.1496,                 1.3053,                0.75219,                 1.1683,                0.94212,                0.71355,                0.85564,                0.72663,                0.84846,                 1.0492,                0.98711,                0.90698,                  1.179,                 1.0045,               0.006436,               0.006436,               0.006436
                     12,                 1.1656,                0.65099,                 1.1395,                   1.29,                0.73442,                 1.1578,                0.94055,                 0.7766,                0.87376,                0.73847,                0.84247,                0.88454,                 0.9755,                0.90268,                 1.0098,                0.99429,                0.00604,                0.00604,                0.00604
                     13,                 1.1505,                0.63622,                 1.1321,                 1.2748,                0.71451,                 1.1494,                0.93459,                0.80952,                0.88754,                0.74721,                0.83833,                0.77072,                0.96713,                0.89764,                 0.8856,                0.98596,               0.005644,               0.005644,               0.005644
                     14,                 1.1362,                0.62362,                 1.1249,                 1.2583,                0.69821,                 1.1417,                0.93811,                0.83198,                0.90053,                 0.7565,                0.83602,                0.68696,                0.96072,                0.89484,                 0.7875,                 0.9793,               0.005248,               0.005248,               0.005248
                     15,                 1.1229,                0.60782,                 1.1156,                 1.2436,                0.67776,                 1.1315,                0.93174,                0.84694,                0.90975,                0.76243,                0.83386,                0.62463,                0.95501,                0.89186,                0.71246,                0.97327,               0.004852,               0.004852,               0.004852
                     16,                 1.0189,                0.57067,                 1.0429,                 1.1051,                0.58322,                   1.05,                0.93435,                0.86226,                0.91581,                0.76586,                0.83184,                0.57976,                0.95108,                0.88842,                0.65841,                0.96891,               0.004456,               0.004456,               0.004456
                     17,                0.99877,                0.54747,                 1.0317,                 1.0842,                0.55986,                 1.0392,                0.93658,                0.87233,                0.92022,                 0.7689,                0.83141,                0.54936,                0.94857,                0.88703,                0.62112,                 0.9658,                0.00406,                0.00406,                0.00406
                     18,                0.98144,                0.53041,                 1.0212,                 1.0665,                0.53839,                 1.0287,                0.94519,                0.87856,                0.92411,                0.77126,                0.83112,                0.52486,                0.94639,                0.88584,                0.59102,                0.96296,               0.003664,               0.003664,               0.003664
                     19,                0.96211,                 0.5101,                 1.0109,                 1.0465,                0.51892,                 1.0174,                0.94968,                0.88199,                0.92692,                 0.7725,                0.83226,                 0.5062,                 0.9453,                0.88626,                0.57013,                0.96138,               0.003268,               0.003268,               0.003268
                     20,                0.94738,                0.49643,                 1.0056,                 1.0303,                0.50352,                 1.0111,                0.94742,                 0.8873,                 0.9292,                0.77316,                  0.833,                0.49058,                0.94461,                0.88758,                0.55179,                0.96047,               0.002872,               0.002872,               0.002872
                     21,                0.93035,                0.48236,                0.99808,                 1.0122,                 0.4867,                 1.0042,                0.94282,                0.89242,                0.93106,                0.77377,                0.83455,                0.47831,                0.94444,                0.88955,                0.53887,                0.96051,               0.002476,               0.002476,               0.002476
                     22,                 0.9124,                0.46686,                0.98752,                0.99284,                0.47267,                0.99377,                0.95028,                0.89449,                0.93297,                0.77444,                0.83657,                0.46818,                0.94501,                0.89107,                0.52782,                0.96075,                0.00208,                0.00208,                0.00208
                     23,                0.89558,                0.45246,                0.97919,                 0.9753,                0.45647,                0.98532,                0.94848,                0.89259,                0.93404,                0.77448,                0.83856,                0.45981,                0.94579,                0.89263,                0.52045,                0.96132,               0.001684,               0.001684,               0.001684
                     24,                0.87812,                0.43943,                0.96904,                 0.9569,                0.44284,                0.97487,                0.94391,                0.89308,                0.93521,                0.77492,                0.84085,                0.45309,                0.94662,                0.89494,                0.51499,                0.96166,               0.001288,               0.001288,               0.001288
                     25,                0.86111,                0.42567,                0.95967,                0.93794,                0.42796,                0.96482,                0.94766,                0.89407,                0.93618,                0.77504,                0.84304,                0.44776,                0.94709,                0.89657,                0.51017,                0.96224,               0.000892,               0.000892,               0.000892
